Table.1..State.energy.related.carbon.dioxide.emissions.by.year..1970.2021.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57
million metric tons of energy-related carbon dioxide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Change,,Change,
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(1970-2021),,(2019-2021),
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute,Percent,Absolute
Alabama,102.646851366564,98.4611141576103,104.932503712156,109.563135476825,108.777542865247,107.77934626995,108.089154566654,111.683851961928,106.629516190143,111.552209732089,107.14722389458299,103.751059321727,90.9272715083283,89.9139929639816,95.3256343344322,101.632199665464,101.680109927398,103.675810028103,104.944584587179,109.850854445123,109.63618649885,113.89355220629,120.681037354892,125.226172012583,123.212375909531,130.996584111916,137.220804034842,134.133290055411,133.524213322072,135.835297830328,142.298576642026,133.321949773699,138.297153078848,139.792468685284,141.979013354553,143.53208097027,145.768722337941,147.287642511231,139.359998298939,119.799631405851,132.488087274445,129.54632125285,122.631496644427,120.464375697848,122.633475977931,119.202912200077,113.9864834941,108.594555631502,112.355760549426,106.254616911174,98.4318033197756,108.392103042929,5.5971046358232579E-2,5.7452516763645596,0.10118985314934111,9.9602997231529287
Alaska,11.3489097079969,12.6364227693534,13.4205880485349,12.4905643684354,12.7791098640717,14.524476947328,15.9693570122168,17.9503014092422,19.4828746362735,17.4732691723052,17.3827193228881,17.0443394947506,23.916105967594,25.921467633126,28.6309066748878,28.9842207300969,31.3972691160289,29.7496604902155,30.2302173953711,33.3032954938209,33.9282370253649,34.450250058894,35.8227175557388,35.6848843794296,35.5455201650833,40.0381193594459,41.1157012149815,41.2266711372396,42.2410378573586,42.8633887465832,43.579298034498,42.5528548533569,42.7357369092186,42.8954867335552,46.2025640804438,47.4903835479733,45.4221025202077,43.6533461050825,39.0790258302227,37.2867067559867,37.1372557833701,37.0853374479185,36.1553440285916,34.0492647723105,33.9194377772319,35.0279026070669,33.4056833752087,33.7310947587075,34.5154447397289,34.27683000553,35.9777433578574,38.8725260851835,2.4252211961640922,27.523616377186539,8.0460375141728768E-2,2.8947827273260458
Arizona,24.9061887689617,26.9987313114255,30.17924130672,34.4487198143441,36.7370723552356,38.2211324878145,43.7771529977183,50.5007057692828,49.2848835367583,56.1467240818791,52.8718058019568,59.8897468661293,58.474153186052,54.1614220024566,58.5249565552434,61.0780349552418,56.279845601222,56.3815312555268,59.5802045507074,65.4869233169423,63.0913316816648,63.9190053004988,66.7083507940039,69.0142918907913,71.7826541546057,66.7386022980521,68.5807357809373,71.7301258604936,76.7249660969022,80.6238737211633,86.6400394620313,88.861708570678,88.2672261840995,90.4936431943351,97.2877002489949,97.2991566407437,100.503815770352,102.353396212854,102.612852590786,93.865335849695,99.4865454399785,97.6615045436171,95.4538569361102,99.3093153344081,97.2954328526849,94.9829025529746,90.8609698603239,90.4808651022119,94.0998549393508,92.5556872377753,80.1538965030147,83.0242669971508,2.3334793921025909,58.11807822818912,3.5810741827481778E-2,2.8703704941361541
Arkansas,36.1788886570263,35.0912870518145,37.189109458097,40.82986639787,39.1125116484256,36.3655242851615,38.8575285952452,41.6490527727349,42.4185855526405,40.2459307206684,37.505560729851,42.934561473439,42.71803220971,47.0991621749498,44.9835247427171,49.146719685709,50.0073113151079,47.0647346035246,50.9702510841972,51.3195665790186,50.7816613258973,49.7110101732447,51.3065633050932,50.3940982668543,54.2974784692862,57.6657728725477,60.1933524155828,59.1509962260184,60.529906008834,62.7218596650321,63.340678102346,62.497584062948,61.2034741331091,62.1901875411052,62.510727686994,60.2367047127059,62.0979511744536,63.3775722828401,64.1708319073619,61.5437661621825,66.0874705329553,67.4843712893614,66.2553510205734,68.5124853537401,68.9142154499472,59.0540147789529,62.1270034707046,64.1763600846404,70.7859908435362,65.073336707927,54.749618705519,62.0249410663075,0.71439597424620027,25.846052409281139,0.13288352563549721,7.2753223607885218
California,294.372199859712,305.833366744362,312.722261001184,329.285277474873,304.471018398028,311.485516141537,326.902402816128,354.482753066707,345.243292667383,362.068049365645,344.412111599024,334.217918247518,298.779345283437,293.4819473831,315.504829808675,320.62755048093,306.681885984611,335.842750874676,344.572845068739,359.393998298498,360.205089808971,348.542314205767,352.331367012194,341.880710597913,359.254282593309,348.751971923733,349.806121335597,352.66797238318,362.667552186696,366.098386578937,382.286455273936,385.559362939152,384.423636412005,374.634361205086,392.687719164242,389.575519378099,397.786376743566,402.553428904919,384.000453966289,370.357760667365,356.592180339394,342.655381494789,348.750202729685,349.714192305124,345.386127300208,351.421508183549,353.372144541643,356.532042865761,358.605130208403,358.266354661875,303.815452862993,324.039052859179,0.10078007710512479,29.666852999466979,6.6565409381287077E-2,20.223599996186241
Colorado,43.0175594713028,43.5916898202861,47.467615125736,51.0676492187891,50.4805074286171,51.8016563689721,55.1349641785742,58.314615262378,58.4442109350017,58.8945850274116,58.8751813020943,57.8215166424895,58.9850626914243,57.159617122909,60.930568958212604,61.5253518040416,60.7307022010596,61.4007217259956,63.7638909409043,64.9824592630231,66.5439075580285,67.7397420030772,68.7388909930305,72.4439389885557,73.0011752153528,73.0596724869466,76.0117720755592,76.1509400529271,78.4179773015144,80.4581515994058,85.5163804062966,93.301222885794,91.6034852735696,91.0024799575848,93.5457910098329,95.7517595253666,96.6259924667917,99.3311203868082,97.3871662591242,93.3261933247177,95.887378064722,92.5056284038422,91.2071296125711,92.1381264203337,92.7741199689851,91.308856702766093,88.4286650898815,88.7781709185103,90.0662466345426,91.7471562921612,79.9112652852634,85.3817814833405,0.98481230764146654,42.364222012037708,6.8457384306814806E-2,5.4705161980771067
Connecticut,47.8319936346207,45.894755556588,47.2155749749131,48.5769912173281,45.425743533664,41.6880927079815,43.4329168461711,43.0514353434568,43.969455417911,42.0146528482167,40.1478058809101,35.4374141156744,35.444584065491,34.7771577496883,37.9665160033208,37.8671237311326,39.5327020270779,39.7265123051076,42.247766821389,43.7354610559578,40.4426338904301,39.604500094132,39.9750644246934,38.0320901727144,37.3840607057891,36.7137928802843,39.4186186040366,42.3198684476895,39.9163241046537,41.1687756258222,42.7507670546332,41.5661237732473,40.0426365804773,42.9642969936004,44.716782900095,43.9020216103227,40.914923361325,40.1266558133655,37.6519747224725,35.9584152996993,36.4410489353405,35.0350564410976,34.2681708663664,34.6496557776867,34.9799104387502,36.3296727133775,34.0962496753274,33.8603823224485,37.3865977552349,36.6353523409452,33.7690973618948,36.5732571120829,-0.23538087516362219,-11.25873652253784,8.3039227259663395E-2,2.8041597501880839
Delaware,16.0723068483064,15.9295196788452,16.0138020842072,17.2435187452548,16.6574060843134,15.5431089316345,16.1570297205601,16.1397933809877,16.1834807617288,17.0772376515733,17.4894363610863,16.3429057772975,14.6983033905577,17.6717843777158,18.4327752152294,17.3693086200828,17.1518592058341,17.9191685530279,18.5127718386272,17.7755735494542,18.0373341416078,17.8832770149087,17.7681343083327,19.1307923985856,18.471573625112,17.5171715210525,18.1547496985941,16.8495218804726,16.1962103668351,16.4002467219651,16.679414049602,15.9963167201773,15.8819794345681,16.6094965166018,16.6185290162423,17.4036529449129,16.2370578892108,17.1157920212705,16.1800247721793,11.9218612401928,13.0791280054496,13.8659449151981,14.5859761094228,14.035684224176,13.7764214497641,13.9056482684868,14.4207537256027,13.7687619218063,13.9919870694048,13.5939829449186,12.4768703876731,12.9666335651477,-0.19323133340289511,-3.1056732831587262,3.9253688004844189E-2,0.48976317747459669
District of Columbia,13.6418206225907,11.8770807188266,11.3057894689891,11.8502161020428,9.84932521116556,7.88970227199035,7.69028043966291,7.92285353669821,7.45023889437721,6.04527505015125,5.24982976401162,4.69151553327342,5.18359575475052,5.02496037320604,5.23835834541313,4.73737040015899,5.20416038621733,5.00042550893327,4.90293010530435,5.03983316821248,4.43622539562206,4.38129366491523,4.35371502992114,4.53181198680091,4.50067577825151,4.41974712780221,4.37828141914177,4.25628372455047,4.06621148121601,4.14296980818999,4.31308830777312,4.08284981603711,4.18607828009673,3.95333726820189,4.02122187349443,3.93305395563885,3.18914237287956,3.38085798300261,3.0807022502893,3.17874859999129,3.22249188810059,3.09067002231432,2.64987588562147,2.82353763944491,3.01284904462232,2.95782404719373,2.75799163202878,2.585220131983,2.85606827583228,2.80754923972093,2.40085187318603,2.52085585406632,-0.8152111859694291,-11.12096476852439,4.9983917050677951E-2,0.12000398088029481
Florida,104.354245167008,111.502510981567,121.679521428904,132.240485565408,124.294541591394,125.93808771281,134.520240470661,138.182988476558,146.101802014854,153.416193914877,155.794454104459,156.051304558227,140.017985613342,146.141732645721,143.716436269515,152.358688935279,163.40120999299,174.010629472374,183.909355100168,188.187868932551,187.524066121404,188.395794765115,190.697913002581,193.538583636916,201.171417406838,206.848562881085,212.501941518288,217.836280402888,230.337785439321,229.809424715856,239.057624752879,237.38884985938,241.161887692945,246.536648618038,257.125265567867,260.033845282441,259.076622383261,256.689816742928,238.529793492639,224.701848382662,245.461308124173,232.428570032547,226.974378955213,226.983070243669,233.032277023328,237.387043836882,238.837494482939,238.436599377968,242.017701685215,233.617788982009,207.727250225351,226.324206671428,1.1688068972107419,121.96996150442,8.9525839416363606E-2,18.596956446077542
Georgia,73.5277533233955,79.5680310972279,86.7599038579629,93.1060914595127,91.691935480976,91.4438859838084,96.2260265136909,104.698471859052,106.525318761975,111.442333214473,113.047584553189,113.528671300042,110.097337690951,117.263623108421,130.018405006321,136.61077482274,131.351057174363,136.842515239316,139.127583306666,134.1672991144,139.047386244909,130.979883339895,130.609176714072,140.140349099475,143.068185045822,151.56030876771,156.09261616896,157.140487001495,158.382179101871,160.989611387086,169.675490404231,161.613586916859,166.611521091945,170.462423492277,175.322179103366,185.619259924259,182.950506681053,185.575793221233,172.624794339633,163.045802507987,175.200662338644,160.024631738993,141.641692676607,142.910571826841,148.095572456552,145.680117685016,144.543626518583,141.837769833695,141.923837117182,136.496575730442,116.596997711448,124.119173704667,0.6880588362159783,50.59142038127105,6.4514319758341543E-2,7.5221759932189514
Hawaii,13.9310492057808,15.0557636237099,15.4952760551279,15.9511727996678,15.1032717526785,15.2079374244186,15.6177293872845,16.6675891685196,16.9852393619194,18.3760876518481,18.0924391082447,16.2688128552943,14.9092756820335,14.907889042273201,15.8411642909029,17.0148662290655,16.6489537786162,16.7445922293671,19.6398166443645,20.4910701150385,21.3899767735916,19.4778298697969,20.4351585774775,18.7107409549084,20.0075409930477,19.9970044132512,19.1353737491067,18.6916732851112,18.7049638787976,18.4140439131663,18.7272034630781,19.170969945842,20.438453044634,21.5037777093715,22.4573973937515,23.0395683895724,23.2351662598098,23.9962094973832,19.2658741387911,18.8154464006369,20.4181511640763,20.6255327693516,20.2939852454041,20.1470453225682,19.5781097589916,19.7811812923263,19.8186139916517,20.4326199196732,20.3011406792,20.5326290531323,14.9207337658949,17.3402479746129,0.2447194549723852,3.4091987688321548,0.16215785675691491,2.419514208718049
Idaho,10.2497839511729,11.0684468129166,11.6443675645181,11.9570319171129,12.0755845418349,13.1350928894198,12.9254267887647,12.8816739166513,13.2982105196649,13.3269970093243,11.21370686424,10.1526006620175,9.7491962850172,9.63175723477227,9.75265225803141,9.92928117034081,9.79625380139968,10.0499055000234,10.5975741812916,11.1756578985369,11.3232074733525,11.9771153677912,11.2558513402173,12.3775762531689,12.533222748956,13.3231105698039,13.7783876807643,13.7816645629689,14.0056900064783,14.8982082847673,15.6926507273276,15.5772049702747,15.0106722307675,14.4880231633226,15.6849194641202,15.7915476891297,15.8344253862371,16.308399227276,15.5034176631839,15.1712298254485,16.2569501861885,15.9583000377381,15.7701415948709,17.2421386954288,16.8490433994476,18.0360945607775,18.3420393352205,18.7027967392042,19.0427853494439,20.0872480147818,19.3604880029663,20.5221350164932,1.002201716080533,10.272351065320221,6.0000915955675797E-2,1.1616470135268491
Illinois,247.21287086923,243.747717784853,253.312294206027,256.997683743955,252.039592162959,245.42162040423,254.195400571649,256.305535732944,258.84276740712,248.624148636595,232.382994561341,214.156731705754,203.80014253511,210.493372682873,206.663627162075,198.517980497478,196.296671835868,192.248990201812,197.088196837979,193.408214208025,192.835739502571,192.38767114689,188.668648277197,204.130175622622,203.850277585362,207.876308165921,222.243097345084,225.624169911879,217.120450776196,226.917623147023,234.922130709506,225.133433062249,227.444056350586,231.414970415785,237.797985657365,244.448749885287,236.486426589797,243.953648480173,242.253692763291,227.224735539101,233.291787435818,232.082945527498,219.016856141324,233.629088013358,236.733100854223,219.159750525045,207.433194110188,205.979395438909,213.11176655844,203.475091091399,170.156416854033,184.234367593203,-0.25475414388655132,-62.97850327602734,8.2735350211606162E-2,14.077950739170429
Indiana,171.932202752688,169.060620782977,184.019705048127,188.392981395096,181.538603658446,178.99076112656,181.372058335028,186.306583425617,185.59661232848,192.779943324696,184.111071766594,179.417976824396,162.170863511634,168.363906244471,185.222830888896,182.895787746811,178.384793212177,184.662883315889,195.146542764693,199.471430456407,206.107660297944,202.36612300061,199.83787574704,204.211936336994,204.016736201877,209.428273281915,214.124207331951,217.990557449683,219.71982580321,226.446767942079,239.725378063077,230.327817908534,233.289501977707,239.738769907077,240.055900353056,238.61884865046,236.724169343319,235.952323911976,231.677033939248,209.092460954093,218.368342888206,209.771849906458,195.439784257806,200.06084308802,205.778724109771,187.236548634718,181.832003063765,175.892354483847,189.21819049926,176.181825481441,154.447601273007,166.380706664917,-3.2288867349392743E-2,-5.5514960877704311,7.7263131920173755E-2,11.93310539191071
Iowa,53.4749561210957,53.3964671886356,56.3978262286944,59.452561902908,56.1468332759485,55.1384715594453,58.4974275459251,58.7767722661882,58.0746564164132,63.275483156501,59.1526595004261,58.4951782395643,57.3952278748443,56.2698564305837,56.8289543519304,57.8492663267292,56.5577415022049,58.3907648961642,62.4912319098591,62.6415302514021,63.4964200763981,65.5532649964576,63.9417294233417,67.2529424904883,68.412576968583,71.8038928973991,74.8188389700624,74.2529984534282,77.1811899053347,78.1419021731271,79.4070992975966,78.244458562114,78.815703988888,78.9153230740389,80.0377131757258,80.0805696319876,81.3275795742668,87.0351297231234,90.3201658099439,85.4290255095112,90.2831367248806,87.2572992761744,81.3933251884049,82.3747753196556,83.4369865930792,77.4161369756802,73.9838790502855,76.3053187701724,82.4355664490489,77.306447204523,65.6562341444049,73.1423574621309,0.36778714313477351,19.667401341035159,0.11401999239342531,7.4861233177259976
Kansas,51.0786092543387,52.7812211883101,56.0751923538388,57.0587562066569,57.3887024804575,57.575467760782,60.5078411692556,61.9321692822667,67.6835604884311,73.0019194679041,67.9178337557036,64.6072950010619,63.2459191854838,62.9400065116597,70.6871745365438,68.0662699601798,65.187765195906,68.3906226631778,70.7111473982359,68.7619142240254,68.8449999538936,67.7193856145696,65.2092216727713,71.3280186028622,71.6158917967325,69.5475983707574,74.6132603763518,71.2312116540626,70.1130428983122,73.2689239246881,75.8141568444072,71.8327546881305,76.3373920920264,78.8328523767195,76.616178427522,73.0913284937374,72.8586950019075,79.0419860057493,75.0062006539585,73.2161489863333,72.6226641914686,70.7043612158622,66.0693174151213,69.7624978613666,70.3444544060432,64.5130659629028,62.6099879148621,59.0326290604727,62.8585703760826,60.4841675595775,57.7806900890654,59.7584345964598,0.1699307296896253,8.6798253421210276,3.4228468098007392E-2,1.9777445073944191
Kentucky,86.3011819950102,88.4596935738583,94.1376984782726,94.4902283628664,95.2404201483747,91.266126470925,101.03346868133,101.586338500652,102.852981659702,102.699127294273,103.867786158646,103.210975112472,98.452874769206,100.49360657338,105.018354738224,107.711551538887,110.952804469378,112.737401587578,122.914653360784,119.157336851433,120.324540500763,119.964547597418,123.827731668345,134.568486776559,132.501060084867,137.961194718576,139.133962077517,142.962424892604,141.417833241257,146.215307178061,147.078265888457,151.051185543306,151.343535800585,147.796724409404,154.491175557098,156.323213214396,158.73295570128,158.468620700398,155.808267759749,146.021995589475,152.940324498671,151.193392629904,140.630278225876,139.69693031063,140.362337032072,131.346021069964,126.811537133343,116.784833831476,122.773536326905,114.669207817066,101.181096533238,111.29704268566,0.28963520675875198,24.995860690649469,9.9978617538493797E-2,10.115946152422
Louisiana,144.123433916346,146.723957458504,155.358918799727,168.895822095648,172.205135263295,159.762412983901,182.665080841706,204.894920007561,212.427894343034,204.048482540404,192.862327650075,192.694119631797,176.752778105766,168.037803097391,175.298357019234,164.863567482797,174.287470126807,176.070938473483,183.319586130555,187.689735307298,191.538380286237,190.678483926854,197.822204309829,201.035922389388,206.106106408222,206.974265884208,213.098336486229,221.410944465767,208.220130489877,206.477816003752,220.642821263875,198.736043757564,204.590314182445,201.622897801731,207.909435358435,201.958983668279,210.102997753709,210.629228505063,204.13070168804,193.505427288446,203.564014429267,207.960338771478,197.1460193132,189.022016464034,186.364159997781,185.58219905364,189.163591005431,193.400328068086,194.770071444404,194.923783981623,183.339837137694,188.600448390665,0.30860362722231011,44.477014474319297,2.8693225297349519E-2,5.2606112529712163
Maine,16.8055477438756,20.5779699191294,22.1589719258369,21.3142989507222,18.7441097538686,16.0720103240165,18.6581388438987,19.0058560501827,17.6665602887399,16.213675695786,14.6132621061045,14.3663343339716,17.4250949654302,13.3154094905337,15.1715482011961,14.7717965403346,18.5834377937948,17.4355240208748,20.4376508268422,19.1236263151293,18.8959104917293,18.3913159010292,19.2149314932943,18.7592396472637,20.1455864694397,18.8519577827021,19.3433439452851,19.5821059410679,19.2557197215607,20.2322596335737,22.2484314039425,22.3828121313639,23.8879122083742,23.7832017010398,24.070583957999,23.0748639761698,21.2295662798115,20.9006825399916,19.0182259544256,18.3296146832323,17.7532623275639,17.307828369720198,15.6213161787816,16.3675836120059,16.4442547410073,16.6795675460679,16.1538979752899,15.3767223220316,14.7632422370059,14.4273045491445,13.5034002277776,14.4076743176133,-0.14268344375363209,-2.397873426262247,6.6966399172231572E-2,0.90427408983575575
Maryland,74.1988784102697,75.3780740243837,76.2543727901493,81.7384150333792,76.3477208318252,67.1444502867587,72.6360806367584,67.5658231893337,70.2121553265699,73.3487421484455,67.5091836255245,63.1873807298149,61.17429077546,62.4355848920781,68.7229220768273,64.8454511619755,66.5736209613755,71.184297978297,74.1121906658511,77.346301987514,70.3947263817396,69.3169225772373,67.4062460617348,69.6214655947132,70.865428334224,70.4972999494696,72.6931969662426,72.7907837283123,76.0239450659769,78.6037896484374,78.499565947345,79.0201495969242,79.0721600153885,82.1949838316632,83.4061389112676,85.0055318502572,78.1649786526455,78.4860547766174,74.5603527422235,71.3905896754674,71.400936820523,66.8848717586229,62.3661656430753,61.6259169507441,64.23081086672,62.2811483255951,60.4686013718102,55.0416274730248,61.6874396132949,56.8804134732547,48.0902122192274,52.574575502063,-0.29143705904338418,-21.624302908206651,9.3248980944248716E-2,4.4843632828356164
Massachusetts,99.5700746480574,100.027349342318,103.889964750514,103.241104175141,94.4364204044288,91.8150310986823,96.5483307800468,95.26700593808,93.5093553104801,80.2218015234167,77.6145670771879,73.4271975805607,76.3136459720559,73.3351654337741,80.1918391419893,79.413137243869,84.78464184336,85.5799924459805,85.3419593464856,89.0845372717294,82.9430139054686,81.6824456282877,83.5992723579215,80.7865333389878,81.0973043407691,78.5439350085048,79.1769388828629,85.1948682912339,83.1054530247023,80.7513370218957,82.2992650854081,81.9895599034711,82.9529975480677,84.8309291945286,82.9544620058378,84.3688976855478,76.5739379832468,79.875376769766,76.6648926066838,70.3946850842819,72.7914365982788,68.766684329642,62.4872484421157,66.5155828617163,64.9402900898452,66.7472896462115,64.0908986576225,64.7153745347157,64.1080677347633,63.3382579574981,52.2789421138577,56.118147817611,-0.43639544294842142,-43.451926830446382,7.3436943222607187E-2,3.8392057037533291
Michigan,186.798647975295,192.678132845625,199.428521051006,199.977989805635,190.371122728253,191.801287899344,193.572727863922,184.989590460952,188.694512592295,188.749397725713,179.428401091896,170.013300921232,158.235821449487,155.031128586157,162.291180786279,166.725148893095,170.416723020204,173.938315726727,180.79726163541,177.92048109652,180.149367403524,178.373670571875,177.19290155083,178.068340724961,185.907700332983,188.950481628718,194.360522002629,191.906987157588,191.111121105846,198.97686953654,194.555201414911,189.561983065631,188.806821958097,187.079191163418,188.907501332564,190.134387864464,179.318876448659,181.997775717815,175.468432830529,164.761707532979,167.521137283738,162.498215332471,155.44124506002,164.028765557065,163.958184813817,164.457971165119,154.521979630354,155.687283955377,163.722412962159,159.255886303779,136.863706378426,147.832460797569,-0.20859994223769529,-38.966187177726113,8.0143631276607952E-2,10.968754419142529
Minnesota,69.3296002325742,68.4896773842491,72.6936895640726,76.0057259876694,74.5795344792253,72.7844970594273,77.807461952562,79.4106244553019,80.6817921357636,76.8390527329853,71.4129553394215,67.0402851050983,65.1521202549961,63.2614500078586,67.8747742524901,66.6229791423547,64.2147901873569,68.4250133979887,76.9859307965879,79.9760543337199,78.8417214155211,78.7049829830053,80.0304228819049,84.5745107857903,86.1865018988976,88.9600328901264,93.9472337248498,91.7125315810597,91.7716718328374,92.5842256514419,98.1325947988854,94.9103602983589,97.2746599012187,101.930910024826,100.815209459508,101.814466362371,99.1338727101314,100.626979879749,100.006633439782,92.2097238902393,91.8840525771083,91.4010916331759,86.4445284386753,90.8224766852739,95.8865672539225,89.3319838578677,91.1018256855656,91.2790481501739,94.7566865606458,92.1011880927508,78.3805819148787,83.1583987914539,0.1994645650990248,13.82879855887967,6.0956639512627531E-2,4.7778168765752298
Mississippi,38.6859679770825,40.5002717711102,43.3125723379867,44.0743174328548,43.3381343768531,40.853049757705,43.3718899172707,47.273334809807,50.1229599954248,50.4152052634904,47.6662109404663,45.139054618628,45.4288193935911,42.7877311012062,44.4933545564227,43.7105637471276,44.746829011017,46.3273459276779,49.3245814561054,45.9916068271949,48.3948461521432,48.100915869574,48.1757283625092,50.4643410599044,50.1548166402599,51.575779327591,54.4380284924821,55.8015649202593,56.6447718118027,61.4523528658607,61.3608967332205,69.7967669729187,62.571847912125,64.1432814229963,65.7283481420864,64.0048095274342,66.2205248334518,68.3186163127709,64.7429613364047,60.6610161909728,63.6803560117157,58.5594509820993,60.1283631763242,57.0801956441137,59.7809538205947,61.2987636055,62.3163697083794,60.4628921534062,63.2345859575411,62.5524643425801,63.1500107399139,63.0519584287569,0.62984052683155944,24.36599045167446,-1.552688748712727E-3,-9.8052311156955341E-2
