North Carolina Carbon Dioxide Emissions from Fossil Fuel Consumption (1970-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,0.6,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Petroleum Products,8.5,8.1,7.9,7.2,6.0,5.6,6.2,6.2,5.6,5.9,4.8,3.8,3.5,3.5,5.2,4.7,4.4,4.9,5.3,4.5,3.3,3.3,3.6,3.6,3.2,3.8,4.3,3.9,3.8,3.4,3.7,3.7,3.1,3.6,3.6,3.1,2.6,2.4,2.5,2.2,2.4,1.8,1.3,1.4,1.6,1.8,1.6,1.2,1.6,1.5,1.3,1.4
,Natural Gas,1.5,1.7,1.8,1.5,1.5,1.5,1.8,1.7,1.9,1.7,1.8,1.8,1.7,1.7,1.8,1.6,1.7,2.0,2.1,2.1,1.9,2.1,2.3,2.6,2.6,2.7,3.2,2.9,2.8,2.9,3.5,3.1,3.2,3.6,3.5,3.5,3.1,3.2,3.5,3.6,4.0,3.3,3.0,3.7,4.1,3.5,3.5,3.3,4.0,3.7,3.5,3.9
,Total,10.6,10.2,10.0,9.1,7.7,7.4,8.2,8.1,7.6,7.7,6.7,5.6,5.3,5.3,7.1,6.3,6.2,7.0,7.5,6.7,5.3,5.4,6.0,6.3,6.0,6.6,7.6,6.9,6.7,6.4,7.2,6.8,6.4,7.3,7.2,6.6,5.7,5.6,6.0,5.7,6.4,5.2,4.4,5.2,5.7,5.4,5.1,4.5,5.5,5.2,4.8,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.4,0.3,0.3,0.4,0.3,0.3,0.2,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.7,0.3,0.3,0.1,0.6,0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.1
,Petroleum Products,1.3,1.3,1.4,1.3,1.1,1.1,1.3,1.3,1.2,1.4,1.5,1.2,0.9,1.9,2.5,2.0,1.8,2.1,2.3,1.9,1.8,1.5,1.4,1.5,1.7,1.6,2.0,2.0,1.9,1.7,2.0,2.1,1.6,2.2,2.1,2.1,1.8,1.6,1.7,2.0,1.6,1.2,1.2,1.0,1.2,1.9,1.9,1.9,1.9,1.9,1.9,2.0
,Natural Gas,1.2,1.4,1.3,1.3,1.1,1.2,1.1,1.0,1.1,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.6,1.8,1.8,1.7,1.9,2.0,2.1,2.1,2.0,2.2,2.1,2.0,2.1,2.4,2.1,2.2,2.4,2.5,2.6,2.5,2.5,2.7,2.8,3.0,2.7,2.6,3.0,3.3,3.0,3.1,2.9,3.2,3.1,2.9,3.1
,Total,2.9,3.2,3.2,3.1,2.9,2.9,2.8,2.7,2.7,3.0,3.2,2.8,2.6,3.5,4.1,3.7,3.5,4.0,4.5,4.0,3.8,3.6,3.8,4.0,4.3,4.2,4.7,4.5,4.4,4.1,4.6,4.5,4.0,4.9,5.3,5.0,4.6,4.2,5.0,5.3,5.1,4.3,4.2,4.3,4.8,5.3,5.3,5.1,5.2,5.1,4.9,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,5.1,4.2,3.4,3.4,3.4,3.3,3.1,3.4,3.5,3.8,3.2,4.0,3.8,4.4,4.7,5.3,6.0,6.0,6.0,6.0,7.1,6.4,6.8,5.9,5.7,5.8,5.5,5.1,4.5,4.2,4.4,4.3,4.0,3.9,3.6,3.5,3.0,2.8,2.6,2.2,2.2,1.9,1.6,1.7,1.5,1.4,1.3,1.2,1.0,0.9,0.9,1.0
,Petroleum Products,6.4,8.0,9.4,8.3,7.4,7.0,9.7,11.3,9.2,9.3,7.5,5.6,5.5,5.2,6.9,6.1,6.6,6.3,6.2,5.5,5.5,5.5,6.6,6.6,5.8,6.2,6.5,6.2,6.0,5.4,5.8,6.1,5.1,4.7,5.3,5.6,5.1,4.5,3.8,3.2,3.4,3.0,2.6,2.8,2.7,2.6,2.7,2.8,2.8,2.8,2.7,2.7
,Natural Gas,3.9,4.0,4.3,5.0,4.5,3.2,2.3,1.0,1.2,3.6,4.4,4.4,4.1,3.9,4.2,3.9,3.8,4.0,3.9,4.3,4.5,4.4,4.8,4.8,5.0,5.6,5.5,5.9,5.6,5.6,5.6,4.7,5.2,4.7,4.8,4.6,4.6,4.7,4.7,4.3,4.8,5.1,5.3,5.6,5.6,5.5,5.5,5.6,6.1,6.2,6.0,6.4
,Total,15.4,16.2,17.1,16.7,15.3,13.5,15.0,15.7,14.0,16.6,15.1,14.0,13.4,13.5,15.7,15.3,16.4,16.3,16.1,15.8,17.0,16.4,18.2,17.3,16.5,17.6,17.6,17.2,16.1,15.1,15.8,15.1,14.2,13.3,13.6,13.7,12.8,12.0,11.2,9.7,10.4,10.0,9.5,10.1,9.8,9.5,9.6,9.6,9.9,9.9,9.6,10.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Petroleum Products,25.5,26.2,28.0,29.9,30.1,29.9,31.4,32.9,34.3,33.9,31.2,31.5,31.5,33.0,33.7,34.8,36.8,38.5,40.8,38.8,37.9,37.4,38.0,39.5,40.8,42.4,44.9,45.7,46.8,47.7,49.8,48.8,49.4,50.7,52.0,53.1,52.6,54.0,51.9,47.4,51.8,50.4,48.9,50.4,51.2,52.2,53.7,54.2,54.9,56.1,49.9,54.5
,Natural Gas,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
,Total,25.8,26.6,28.3,30.3,30.3,30.1,31.5,33.0,34.4,34.2,31.5,31.8,31.9,33.3,34.0,35.0,37.0,38.8,41.1,39.2,38.2,37.7,38.4,39.8,41.1,42.8,45.3,46.1,47.1,48.1,50.2,49.1,49.7,51.1,52.3,53.4,52.9,54.2,52.2,47.9,52.3,50.8,49.2,50.6,51.5,52.5,53.8,54.4,55.2,56.3,50.2,54.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,40.6,41.1,42.7,46.2,45.5,41.2,48.1,48.2,43.5,49.0,55.8,58.0,54.9,51.9,48.2,46.6,49.1,41.2,42.5,49.8,46.6,47.3,54.5,59.0,53.7,56.6,64.7,67.2,66.7,66.1,70.1,67.4,69.3,69.4,70.4,73.8,70.9,76.0,72.6,62.1,68.9,57.4,49.1,45.1,46.0,37.0,34.8,32.0,29.9,29.3,20.4,20.2
,Petroleum Products,0.8,0.9,2.3,3.1,2.5,0.2,0.4,0.5,0.9,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.4,0.4,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.3,0.2,0.2,0.5,0.1,0.1,0.2
,Natural Gas,1.1,1.1,0.9,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.3,0.7,0.7,0.7,0.9,1.7,0.8,1.1,1.5,1.5,2.2,1.9,2.1,3.9,4.8,8.1,10.8,11.1,14.7,16.1,15.3,18.0,16.6,16.6,19.7
,Total,42.6,43.1,45.9,49.8,48.1,41.4,48.4,48.7,44.4,49.2,56.2,58.3,55.1,52.1,48.3,46.8,49.3,41.4,42.8,50.1,46.9,47.7,54.9,59.3,54.0,57.1,65.1,67.7,67.8,67.1,71.4,68.7,71.3,70.7,71.8,75.4,72.6,78.4,74.7,64.4,73.0,62.3,57.3,56.0,57.5,52.1,51.1,47.5,48.4,46.1,37.1,40.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,97.3,99.2,104.5,109.0,104.3,95.2,106.0,108.2,103.1,110.7,112.7,112.6,108.3,107.7,109.3,107.2,112.5,107.6,111.9,115.8,111.2,110.8,121.3,126.7,121.9,128.3,140.2,142.3,142.1,140.8,149.1,144.3,145.6,147.2,150.2,154.2,148.6,154.4,149.0,133.0,147.2,132.6,124.5,126.2,129.3,124.8,124.9,121.1,124.2,122.6,106.6,115.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,46.7,46.1,46.9,50.6,49.7,45.3,51.8,52.1,47.5,53.1,59.4,62.3,59.2,56.6,53.1,52.3,55.4,47.6,49.0,56.2,54.0,54.0,61.8,65.4,60.0,63.0,70.7,72.7,71.7,70.6,74.8,72.0,73.5,73.7,74.8,77.6,74.2,79.0,75.8,64.8,71.5,59.7,51.1,47.2,47.9,38.8,36.5,33.5,31.1,30.4,21.4,21.3
,Petroleum Products,42.5,44.6,48.9,49.9,47.1,43.8,48.9,52.2,51.2,50.6,45.2,42.3,41.5,43.8,48.4,47.7,49.8,52.1,54.8,50.9,48.6,47.9,49.8,51.3,51.7,54.3,58.0,58.0,58.8,58.5,61.8,61.1,59.5,61.7,63.3,64.2,62.3,62.6,60.1,55.0,59.4,56.7,54.1,55.7,57.1,59.0,60.1,60.4,61.7,62.3,55.9,60.8
,Natural Gas,8.0,8.5,8.7,8.5,7.4,6.0,5.4,3.9,4.4,6.9,8.0,8.0,7.6,7.3,7.7,7.2,7.3,7.9,8.1,8.6,8.6,9.0,9.7,10.0,10.1,11.0,11.5,11.6,11.5,11.7,12.5,11.2,12.7,11.8,12.1,12.4,12.0,12.8,13.1,13.2,16.2,16.3,19.3,23.3,24.2,27.1,28.3,27.3,31.4,29.9,29.2,33.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
